Run,Config,Repetition,Metric,Convergence_Time,Convergence_Value,Unit
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_3,16.2,1.6353404274839018,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_4,15.5,1.6295003947684237,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_5,10.100000000000001,1.6884257343415305,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_6,18.1,1.642844558536886,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_7,22.400000000000002,1.6534871602113599,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_8,10.100000000000001,1.7266796933274509,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_9,29.5,1.7074633607287801,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,system_throughput,10.100000000000001,6.079803519837942,Mbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,rb_utilization,5.1000000000000005,24.99055282106782,unit
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_0,0.26651730095,0.000516169729236434,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_1,0.153829929222,0.0005158173235604031,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_2,0.07523795749,0.0005275445871126759,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_3,0.053761639214,0.00041717059003124995,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_4,0.117074808683,0.0005249869715919283,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_5,0.151533167828,0.0005362461577375888,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_6,0.094948838005,0.0004162483599736842,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_7,0.07450100941,0.0004412811088083833,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_8,0.047281023527,0.00046071215644554456,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,inter_arrival_user_9,0.073625560647,0.0005406498942867646,s
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_0,10.4,1.7080529574810248,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_1,11.100000000000001,1.7216495193236825,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_2,10.100000000000001,1.6843517896867917,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_3,32.7,1.6325225293491723,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_4,10.4,1.687699079646957,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_5,10.100000000000001,1.6867564781214466,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_6,10.100000000000001,1.7245304447096275,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_7,10.600000000000001,1.725157345594398,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_8,10.3,1.7086316851701517,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,user_throughput_user_9,10.4,1.7024883497704448,kbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,system_throughput,10.100000000000001,6.077875617684538,Mbps
WarmupDetection2000Version2-6-20250707-14:00:21-736846,WarmupDetection2000Version2,6,rb_utilization,5.1000000000000005,24.984390448440443,unit
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_0,0.062924564519,0.0005151890051311472,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_1,0.085685156601,0.0004898289191724137,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_2,0.081263006864,0.0004950284510060975,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_3,0.09558246605,0.00045640905461057676,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_4,0.052494282146,0.0005183126414257425,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_5,0.100725316732,0.0004962311055742575,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_6,0.093816488226,0.00048059069082989674,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_7,0.175158192585,0.0005333917415640244,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_8,0.08389091325,0.00044011241298947345,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,inter_arrival_user_9,0.05486468279,0.000541300865019802,s
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_0,10.700000000000001,1.6708047440399083,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_1,10.700000000000001,1.6775540798023028,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_2,10.100000000000001,1.6938828907894583,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_3,19.700000000000003,1.6782516711896327,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_4,39.800000000000004,1.6964848581302616,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_5,11.4,1.6728569471434795,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_6,10.100000000000001,1.6648362603900404,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_7,19.900000000000002,1.6594618993168573,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_8,16.1,1.6635141101031312,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,user_throughput_user_9,11.700000000000001,1.679762155198506,kbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,system_throughput,10.100000000000001,6.066760852289932,Mbps
WarmupDetection2000Version2-7-20250707-14:00:21-736850,WarmupDetection2000Version2,7,rb_utilization,5.1000000000000005,24.988932607947607,unit
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_0,0.084619595847,0.00044677178128191476,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_1,0.067390701018,0.0005204563138888889,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_2,0.113910331047,0.000540684972695238,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_3,0.057817087847,0.0005034266386491228,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_4,0.065343147921,0.0004855421343484848,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_5,0.04761986131,0.0004553905452135923,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_6,0.139119934449,0.0005150274680222228,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_7,0.131912143989,0.0004953311580639101,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_8,0.054337416445,0.0005361293150792078,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,inter_arrival_user_9,0.151748728677,0.0004767100334937109,s
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,user_throughput_user_0,21.700000000000003,1.6723229079280773,kbps
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,user_throughput_user_1,13.100000000000001,1.7464646038819083,kbps
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,user_throughput_user_2,13.0,1.73786824526629,kbps
WarmupDetection2000Version2-8-20250707-14:00:21-736853,WarmupDetection2000Version2,8,user_throughput_user_3,10.100000000000001,1.7352789968487246,kbps
